"","country","squad"
"1","England","Spurs"
"2","England","Arsenal"
"3","England","Bournemouth"
"4","England","Newcastle"
"5","England","Man City"
"6","England","Leeds"
"7","England","Brighton"
"8","England","Chelsea"
"9","England","Fulham"
"10","England","Liverpool"
"11","England","Leicester"
"12","England","Brentford"
"13","England","Wolves"
"14","England","Man Utd"
"15","England","Everton"
"16","England","West Ham"
"17","England","Aston Villa"
"18","England","Nottm Forest"
"19","England","Crystal Palace"
"20","England","Southampton"
"21","Spain","Atlético Madrid"
"22","Spain","Real Betis"
"23","Spain","Villarreal"
"24","Spain","Real Madrid"
"25","Spain","CA Osasuna"
"26","Spain","Valencia"
"27","Spain","Real Sociedad"
"28","Spain","Espanyol"
"29","Spain","Celta de Vigo"
"30","Spain","Rayo Vallecano"
"31","Spain","Athletic"
"32","Spain","Barcelona"
"33","Spain","RCD Mallorca"
"34","Spain","Sevilla FC"
"35","Spain","UD Almería"
"36","Spain","Cádiz CF"
"37","Spain","Girona"
"38","Spain","Real Valladolid"
"39","Spain","Elche CF"
"40","Spain","Getafe"
"41","France","Paris SG"
"42","France","LOSC Lille"
"43","France","Marseille"
"44","France","Lens"
"45","France","Montpellier"
"46","France","Monaco"
"47","France","Olympique Lyon"
"48","France","FC Lorient"
"49","France","Toulouse"
"50","France","OGC Nice"
"51","France","Angers SCO"
"52","France","FC Nantes"
"53","France","Troyes"
"54","France","Stade Brestois"
"55","France","R. Strasbourg"
"56","France","AC Ajaccio"
"57","France","Rennes"
"58","France","AJ Auxerre"
"59","France","Stade Reims"
"60","France","Clermont Foot"
"61","Italy","SSC Napoli"
"62","Italy","Juventus"
"63","Italy","AC Milan"
"64","Italy","Atalanta BC"
"65","Italy","Fiorentina"
"66","Italy","Inter"
"67","Italy","Lazio"
"68","Italy","Torino"
"69","Italy","Spezia Calcio"
"70","Italy","AS Roma"
"71","Italy","Cremonese"
"72","Italy","Monza"
"73","Italy","Lecce"
"74","Italy","Bologna"
"75","Italy","FC Empoli"
"76","Italy","Salernitana"
"77","Italy","Udinese Calcio"
"78","Italy","Sampdoria"
"79","Italy","Hellas Verona"
"80","Italy","Sassuolo"
"81","Germany","Bayern Munich"
"82","Germany","SC Freiburg"
"83","Germany","Union Berlin"
"84","Germany","1. FC Köln"
"85","Germany","Bor. M'gladbach"
"86","Germany","1.FSV Mainz 05"
"87","Germany","Bor. Dortmund"
"88","Germany","Werder Bremen"
"89","Germany","VfL Wolfsburg"
"90","Germany","RB Leipzig"
"91","Germany","VfB Stuttgart"
"92","Germany","VfL Bochum"
"93","Germany","B. Leverkusen"
"94","Germany","FC Schalke 04"
"95","Germany","Hertha BSC"
"96","Germany","TSG Hoffenheim"
"97","Germany","FC Augsburg"
"98","Germany","E. Frankfurt"
