"","Team","Comp"
"1","Arsenal","Premier League"
"2","Arsenal","Europa Lg"
"3","Arsenal","EFL Cup"
"4","Arsenal","FA Cup"
"5","Manchester City","Community Shield"
"6","Manchester City","Premier League"
"7","Manchester City","Champions Lg"
"8","Manchester City","EFL Cup"
"9","Manchester City","FA Cup"
"10","Newcastle United","Premier League"
"11","Newcastle United","EFL Cup"
"12","Newcastle United","FA Cup"
"13","Tottenham Hotspur","Premier League"
"14","Tottenham Hotspur","Champions Lg"
"15","Tottenham Hotspur","EFL Cup"
"16","Tottenham Hotspur","FA Cup"
"17","Manchester United","Premier League"
"18","Manchester United","Europa Lg"
"19","Manchester United","EFL Cup"
"20","Manchester United","FA Cup"
"21","Liverpool","Community Shield"
"22","Liverpool","Premier League"
"23","Liverpool","Champions Lg"
"24","Liverpool","EFL Cup"
"25","Liverpool","FA Cup"
"26","Brighton and Hove Albion","Premier League"
"27","Brighton and Hove Albion","EFL Cup"
"28","Brighton and Hove Albion","FA Cup"
"29","Chelsea","Premier League"
"30","Chelsea","Champions Lg"
"31","Chelsea","EFL Cup"
"32","Chelsea","FA Cup"
"33","Fulham","Premier League"
"34","Fulham","EFL Cup"
"35","Fulham","FA Cup"
"36","Brentford","Premier League"
"37","Brentford","EFL Cup"
"38","Brentford","FA Cup"
"39","Crystal Palace","Premier League"
"40","Crystal Palace","EFL Cup"
"41","Crystal Palace","FA Cup"
"42","Aston Villa","Premier League"
"43","Aston Villa","EFL Cup"
"44","Aston Villa","FA Cup"
"45","Leicester City","Premier League"
"46","Leicester City","EFL Cup"
"47","Bournemouth","Premier League"
"48","Bournemouth","EFL Cup"
"49","Bournemouth","FA Cup"
"50","Leeds United","Premier League"
"51","Leeds United","EFL Cup"
"52","Leeds United","FA Cup"
"53","West Ham United","Premier League"
"54","West Ham United","Conf Lg"
"55","West Ham United","EFL Cup"
"56","West Ham United","FA Cup"
"57","Everton","Premier League"
"58","Everton","EFL Cup"
"59","Everton","FA Cup"
"60","Nottingham Forest","Premier League"
"61","Nottingham Forest","EFL Cup"
"62","Nottingham Forest","FA Cup"
"63","Southampton","Premier League"
"64","Southampton","EFL Cup"
"65","Southampton","FA Cup"
"66","Wolverhampton Wanderers","Premier League"
"67","Wolverhampton Wanderers","EFL Cup"
"68","Wolverhampton Wanderers","FA Cup"
"69","Barcelona","La Liga"
"70","Barcelona","Champions Lg"
"71","Barcelona","Supercopa de España"
"72","Barcelona","Europa Lg"
"73","Real Madrid","Super Cup"
"74","Real Madrid","La Liga"
"75","Real Madrid","Champions Lg"
"76","Real Madrid","Supercopa de España"
"77","Real Sociedad","La Liga"
"78","Real Sociedad","Europa Lg"
"79","Real Sociedad","Copa del Rey"
"80","Athletic Club","La Liga"
"81","Athletic Club","Copa del Rey"
"82","Atletico Madrid","La Liga"
"83","Atletico Madrid","Champions Lg"
"84","Atletico Madrid","Copa del Rey"
"85","Real Betis","La Liga"
"86","Real Betis","Europa Lg"
"87","Real Betis","Supercopa de España"
"88","Osasuna","La Liga"
"89","Osasuna","Copa del Rey"
"90","Rayo Vallecano","La Liga"
"91","Rayo Vallecano","Copa del Rey"
"92","Villarreal","La Liga"
"93","Villarreal","Conf Lg"
"94","Villarreal","Copa del Rey"
"95","Valencia","La Liga"
"96","Valencia","Supercopa de España"
"97","Mallorca","La Liga"
"98","Mallorca","Copa del Rey"
"99","Valladolid","La Liga"
"100","Valladolid","Copa del Rey"
"101","Girona","La Liga"
"102","Girona","Copa del Rey"
"103","Almeria","La Liga"
"104","Almeria","Copa del Rey"
"105","Getafe","La Liga"
"106","Getafe","Copa del Rey"
"107","Espanyol","La Liga"
"108","Espanyol","Copa del Rey"
"109","Celta Vigo","La Liga"
"110","Celta Vigo","Copa del Rey"
"111","Sevilla","La Liga"
"112","Sevilla","Champions Lg"
"113","Sevilla","Copa del Rey"
"114","Sevilla","Europa Lg"
"115","Cadiz","La Liga"
"116","Cadiz","Copa del Rey"
"117","Elche","La Liga"
"118","Elche","Copa del Rey"
"119","Paris Saint Germain","Trophée des Champions"
"120","Paris Saint Germain","Ligue 1"
"121","Paris Saint Germain","Champions Lg"
"122","Paris Saint Germain","Coupe de France"
"123","Lens","Ligue 1"
"124","Lens","Coupe de France"
"125","Rennes","Ligue 1"
"126","Rennes","Europa Lg"
"127","Rennes","Coupe de France"
"128","Marseille","Ligue 1"
"129","Marseille","Champions Lg"
"130","Marseille","Coupe de France"
"131","Lorient","Ligue 1"
"132","Lorient","Coupe de France"
"133","Monaco","Europa Lg"
"134","Monaco","Champions Lg"
"135","Monaco","Ligue 1"
"136","Monaco","Coupe de France"
"137","Lille","Ligue 1"
"138","Lille","Coupe de France"
"139","Lyon","Ligue 1"
"140","Lyon","Coupe de France"
"141","Nice","Ligue 1"
"142","Nice","Conf Lg"
"143","Nice","Coupe de France"
"144","Clermont Foot","Ligue 1"
"145","Clermont Foot","Coupe de France"
"146","Reims","Ligue 1"
"147","Reims","Coupe de France"
"148","Toulouse","Ligue 1"
"149","Toulouse","Coupe de France"
"150","Troyes","Ligue 1"
"151","Troyes","Coupe de France"
"152","Montpellier","Ligue 1"
"153","Montpellier","Coupe de France"
"154","Nantes","Trophée des Champions"
"155","Nantes","Ligue 1"
"156","Nantes","Europa Lg"
"157","Brest","Ligue 1"
"158","Brest","Coupe de France"
"159","Auxerre","Ligue 1"
"160","Auxerre","Coupe de France"
"161","Ajaccio","Ligue 1"
"162","Ajaccio","Coupe de France"
"163","Strasbourg","Ligue 1"
"164","Strasbourg","Coupe de France"
"165","Angers","Ligue 1"
"166","Angers","Coupe de France"
"167","Napoli","Serie A"
"168","Napoli","Champions Lg"
"169","Napoli","Coppa Italia"
"170","Milan","Serie A"
"171","Milan","Champions Lg"
"172","Milan","Coppa Italia"
"173","Milan","Supercoppa Italiana"
"174","Juventus","Serie A"
"175","Juventus","Champions Lg"
"176","Juventus","Coppa Italia"
"177","Juventus","Europa Lg"
"178","Lazio","Serie A"
"179","Lazio","Europa Lg"
"180","Lazio","Coppa Italia"
"181","Lazio","Conf Lg"
"182","Internazionale","Serie A"
"183","Internazionale","Champions Lg"
"184","Internazionale","Coppa Italia"
"185","Internazionale","Supercoppa Italiana"
"186","Atalanta","Serie A"
