"","Competitions"
"1","Premier League"
"2","Europa Lg"
"3","EFL Cup"
"4","FA Cup"
"5","Community Shield"
"6","Champions Lg"
"7","Conf Lg"
"8","La Liga"
"9","Supercopa de España"
"10","Super Cup"
"11","Copa del Rey"
"12","Trophée des Champions"
"13","Ligue 1"
"14","Coupe de France"
"15","Serie A"
"16","Coppa Italia"
"17","Supercoppa Italiana"
"18","DFL-Supercup"
"19","Bundesliga"
"20","DFB-Pokal"
"21","Primeira Liga"
"22","Eredivisie"
"23","Premiership"
"24","First Division A"
"25","First League"
"26","1. HNL"
"27","Superliga"
