"","player_name","citizenship"
"1","Ederson","Brazil"
"2","Ederson","Portugal"
"3","Stefan Ortega","Germany"
"4","Stefan Ortega","Spain"
"5","Scott Carson","England"
"6","Rúben Dias","Portugal"
"7","Aymeric Laporte","Spain"
"8","Aymeric Laporte","France"
"9","John Stones","England"
"10","Nathan Aké","Netherlands"
"11","Nathan Aké","Cote"
"12","Manuel Akanji","Switzerland"
"13","Manuel Akanji","Nigeria"
"14","Sergio Gómez","Spain"
"15","Benjamin Mendy","France"
"16","Benjamin Mendy","Senegal"
"17","João Cancelo","Portugal"
"18","Kyle Walker","England"
"19","Rodri","Spain"
"20","Kalvin Phillips","England"
"21","Kalvin Phillips","Jamaica"
"22","Phil Foden","England"
"23","Ilkay Gündogan","Germany"
"24","Kevin De Bruyne","Belgium"
"25","Bernardo Silva","Portugal"
"26","Cole Palmer","England"
"27","Jack Grealish","England"
"28","Jack Grealish","Ireland"
"29","Riyad Mahrez","Algeria"
"30","Riyad Mahrez","France"
"31","Erling Haaland","Norway"
"32","Erling Haaland","England"
"33","Julián Álvarez","Argentina"
"34","Alisson","Brazil"
"35","Caoimhín Kelleher","Ireland"
"36","Adrián","Spain"
"37","Virgil van Dijk","Netherlands"
"38","Virgil van Dijk","Suriname"
"39","Ibrahima Konaté","France"
"40","Ibrahima Konaté","Mali"
"41","Joe Gomez","England"
"42","Joe Gomez","The"
"43","Joel Matip","Cameroon"
"44","Joel Matip","Germany"
"45","Nathaniel Phillips","England"
"46","Andrew Robertson","Scotland"
"47","Konstantinos Tsimikas","Greece"
"48","Trent Alexander-Arnold","England"
"49","Calvin Ramsay","Scotland"
"50","Fabinho","Brazil"
"51","Curtis Jones","England"
"52","Naby Keïta","Guinea"
"53","Thiago","Spain"
"54","Thiago","Brazil"
"55","Arthur Melo","Brazil"
"56","Jordan Henderson","England"
"57","Alex Oxlade-Chamberlain","England"
"58","James Milner","England"
"59","Harvey Elliott","England"
"60","Fábio Carvalho","Portugal"
"61","Luis Díaz","Colombia"
"62","Diogo Jota","Portugal"
"63","Mohamed Salah","Egypt"
"64","Darwin Núñez","Uruguay"
"65","Roberto Firmino","Brazil"
"66","Edouard Mendy","Senegal"
"67","Edouard Mendy","Guinea-Bissau"
"68","Kepa Arrizabalaga","Spain"
"69","Marcus Bettinelli","England"
"70","Marcus Bettinelli","Italy"
"71","Wesley Fofana","France"
"72","Wesley Fofana","Cote"
"73","Kalidou Koulibaly","Senegal"
"74","Kalidou Koulibaly","France"
"75","Trevoh Chalobah","England"
"76","Trevoh Chalobah","Sierra"
"77","Thiago Silva","Brazil"
"78","Thiago Silva","France"
"79","Marc Cucurella","Spain"
"80","Ben Chilwell","England"
"81","Reece James","England"
"82","César Azpilicueta","Spain"
"83","Jorginho","Italy"
"84","Jorginho","Brazil"
"85","N'Golo Kanté","France"
"86","N'Golo Kanté","Mali"
"87","Denis Zakaria","Switzerland"
"88","Denis Zakaria","DR"
"89","Mateo Kovacic","Croatia"
"90","Conor Gallagher","England"
"91","Ruben Loftus-Cheek","England"
"92","Ruben Loftus-Cheek","Guyana"
"93","Carney Chukwuemeka","England"
"94","Carney Chukwuemeka","Nigeria"
"95","Mason Mount","England"
"96","Kai Havertz","Germany"
"97","Hakim Ziyech","Morocco"
"98","Hakim Ziyech","Netherlands"
"99","Raheem Sterling","England"
"100","Raheem Sterling","Jamaica"
"101","Christian Pulisic","United"
"102","Christian Pulisic","States"
"103","Armando Broja","Albania"
"104","Armando Broja","England"
"105","Pierre-Emerick Aubameyang","Gabon"
"106","Pierre-Emerick Aubameyang","France"
"107","Aaron Ramsdale","England"
"108","Matt Turner","United"
"109","Matt Turner","States"
"110","William Saliba","France"
"111","William Saliba","Cameroon"
"112","Ben White","England"
"113","Gabriel Magalhães","Brazil"
"114","Rob Holding","England"
"115","Oleksandr Zinchenko","Ukraine"
"116","Kieran Tierney","Scotland"
"117","Kieran Tierney","Isle"
"118","Takehiro Tomiyasu","Japan"
"119","Cédric Soares","Portugal"
"120","Cédric Soares","Germany"
"121","Thomas Partey","Ghana"
"122","Mohamed Elneny","Egypt"
"123","Granit Xhaka","Switzerland"
"124","Albert Sambi Lokonga","Belgium"
"125","Albert Sambi Lokonga","DR"
"126","Bukayo Saka","England"
"127","Bukayo Saka","Nigeria"
"128","Martin Ødegaard","Norway"
"129","Emile Smith Rowe","England"
"130","Fábio Vieira","Portugal"
"131","Gabriel Martinelli","Brazil"
"132","Gabriel Martinelli","Italy"
"133","Marquinhos","Brazil"
"134","Reiss Nelson","England"
"135","Gabriel Jesus","Brazil"
"136","Eddie Nketiah","England"
"137","Eddie Nketiah","Ghana"
"138","David de Gea","Spain"
"139","Martin Dúbravka","Slovakia"
"140","Tom Heaton","England"
"141","Lisandro Martínez","Argentina"
"142","Raphaël Varane","France"
"143","Raphaël Varane","Martinique"
"144","Harry Maguire","England"
"145","Victor Lindelöf","Sweden"
"146","Axel Tuanzebe","England"
"147","Axel Tuanzebe","DR"
"148","Phil Jones","England"
"149","Teden Mengi","England"
"150","Teden Mengi","Angola"
"151","Luke Shaw","England"
"152","Tyrell Malacia","Netherlands"
"153","Tyrell Malacia","Curacao"
"154","Brandon Williams","England"
"155","Diogo Dalot","Portugal"
"156","Aaron Wan-Bissaka","England"
"157","Aaron Wan-Bissaka","DR"
"158","Casemiro","Brazil"
"159","Casemiro","Spain"
"160","Scott McTominay","Scotland"
"161","Scott McTominay","England"
"162","Fred","Brazil"
"163","Donny van de Beek","Netherlands"
"164","Bruno Fernandes","Portugal"
"165","Christian Eriksen","Denmark"
"166","Jadon Sancho","England"
"167","Jadon Sancho","Trinidad"
"168","Marcus Rashford","England"
"169","Marcus Rashford","St."
"170","Anthony Elanga","Sweden"
"171","Anthony Elanga","Cameroon"
