"","Match_Date","Team","Player","DOB","Pos","Min","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"1","8/5/2022","Crystal Palace","Odsonne Édouard",1997-07-05,"FW",57,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0
"2","8/5/2022","Crystal Palace","Jean-Philippe Mateta",1997-05-27,"FW",33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"3","8/5/2022","Crystal Palace","Wilfried Zaha",1992-02-23,"LW",90,0,0,0,2,5,1,4,0,2,0,0,0,9,0,0,NA
"4","8/5/2022","Crystal Palace","Jordan Ayew",1990-10-26,"RW,AM",90,0,0,0,4,0,0,4,0,1,0,0,0,4,2,3,40
"5","8/5/2022","Crystal Palace","Eberechi Eze",1998-05-29,"AM",85,0,0,0,0,0,0,5,0,1,0,0,0,5,1,2,33.3
"6","8/5/2022","Crystal Palace","Malcolm Ebiowei",2002-10-09,"RW",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"7","8/5/2022","Crystal Palace","Jeffrey Schlupp",1992-05-19,"DM",85,0,0,0,2,0,0,0,1,2,0,0,0,6,1,2,33.3
"8","8/5/2022","Crystal Palace","Will Hughes",1995-01-04,"DM",5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
"9","8/5/2022","Crystal Palace","Cheick Doucouré",1999-06-19,"DM",74,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,NA
"10","8/5/2022","Crystal Palace","Luka Milivojević",1990-12-16,"DM",16,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,NA
"11","8/5/2022","Crystal Palace","Tyrick Mitchell",1998-10-04,"LB",90,0,0,0,2,1,0,1,2,1,0,0,0,8,0,1,0
"12","8/5/2022","Crystal Palace","Marc Guéhi",2000-06-25,"CB",90,0,0,0,1,0,0,0,1,0,0,0,1,6,1,3,25
"13","8/5/2022","Crystal Palace","Joachim Andersen",1996-04-01,"CB",90,0,0,0,1,2,0,1,2,1,0,0,0,5,4,0,100
"14","8/5/2022","Crystal Palace","Nathaniel Clyne",1990-12-12,"RB",90,1,0,0,1,1,0,2,1,0,0,0,0,1,1,1,50
"15","8/5/2022","Crystal Palace","Vicente Guaita",1986-06-26,"GK",90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NA
"16","8/5/2022","Arsenal","Gabriel Jesus",1996-12-06,"FW",82,0,0,0,2,1,2,0,1,1,0,0,0,4,2,3,40
"17","8/5/2022","Arsenal","Eddie Nketiah",1999-03-30,"FW",8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,NA
"18","8/5/2022","Arsenal","Martinelli",2001-05-06,"LW",90,0,0,0,1,1,0,2,0,0,0,0,0,2,1,1,50
"19","8/5/2022","Arsenal","Bukayo Saka",2000-10-11,"RW",90,0,0,0,2,1,0,6,0,1,0,0,0,4,0,1,0
"20","8/5/2022","Arsenal","Granit Xhaka",1991-11-27,"LM",90,1,0,0,1,4,0,0,2,1,0,0,0,5,4,0,100
"21","8/5/2022","Arsenal","Thomas Partey",1993-04-28,"CM",90,0,0,0,2,1,0,0,1,5,0,0,0,8,0,1,0
"22","8/5/2022","Arsenal","Martin Ødegaard",1998-05-06,"RM",89,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,100
"23","8/5/2022","Arsenal","Albert Sambi Lokonga",1999-01-14,"CM,RW",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA
"24","8/5/2022","Arsenal","Oleksandr Zinchenko",1996-05-02,"LB",82,0,0,0,0,0,0,1,3,1,0,0,0,6,2,2,50
"25","8/5/2022","Arsenal","Kieran Tierney",1997-04-11,"LB",8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA
"26","8/5/2022","Arsenal","Gabriel Dos Santos",1997-05-10,"CB",90,0,0,0,0,3,0,0,1,0,0,0,0,3,2,2,50
"27","8/5/2022","Arsenal","William Saliba",2000-11-15,"CB",90,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,100
"28","8/5/2022","Arsenal","Ben White",1996-12-17,"RB",90,1,0,0,2,3,0,1,1,5,0,0,0,6,0,0,NA
"29","8/5/2022","Arsenal","Aaron Ramsdale",1998-02-26,"GK",90,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100
"30","8/6/2022","Fulham","Aleksandar Mitrović",1993-11-03,"FW",90,0,0,0,1,4,1,0,1,0,1,0,0,7,11,3,78.6
"31","8/6/2022","Fulham","Bobby Reid",1992-08-08,"LW,RW",89,1,0,0,0,1,0,4,0,1,0,0,0,7,1,1,50
"32","8/6/2022","Fulham","Shane Duffy",1991-06-06,"RW",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
