"","Match_Date","Team","Player","DOB","Pos","Min","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","KP","Final_Third","PPA","CrsPA","Prog"
"1","8/5/2022","Crystal Palace","Odsonne Édouard",1997-07-05,"FW",57,3,6,50,34,1,3,4,75,0,2,0,0,0,NA,0,0,0,0,0,0,0,0
"2","8/5/2022","Crystal Palace","Jean-Philippe Mateta",1997-05-27,"FW",33,8,10,80,78,0,6,7,85.7,1,1,100,0,0,NA,0,0.2,0,1,0,0,0,0
"3","8/5/2022","Crystal Palace","Wilfried Zaha",1992-02-23,"LW",90,30,39,76.9,387,87,22,23,95.7,7,8,87.5,0,2,0,0,0.6,0.8,2,0,3,1,2
"4","8/5/2022","Crystal Palace","Jordan Ayew",1990-10-26,"RW,AM",90,27,34,79.4,404,27,18,20,90,6,6,100,2,4,50,0,0.1,0,3,0,1,1,0
"5","8/5/2022","Crystal Palace","Eberechi Eze",1998-05-29,"AM",85,32,41,78,533,119,15,16,93.8,11,12,91.7,3,7,42.9,0,0,0.1,0,2,0,0,0
"6","8/5/2022","Crystal Palace","Malcolm Ebiowei",2002-10-09,"RW",5,2,3,66.7,53,12,1,1,100,0,0,NA,1,1,100,0,0,0,0,0,0,0,0
"7","8/5/2022","Crystal Palace","Jeffrey Schlupp",1992-05-19,"DM",85,30,35,85.7,398,43,16,18,88.9,11,11,100,1,4,25,0,0,0,0,0,1,0,1
"8","8/5/2022","Crystal Palace","Will Hughes",1995-01-04,"DM",5,3,5,60,24,0,3,3,100,0,1,0,0,0,NA,0,0,0,0,0,0,0,0
"9","8/5/2022","Crystal Palace","Cheick Doucouré",1999-06-19,"DM",74,32,34,94.1,501,165,19,20,95,10,10,100,3,4,75,0,0,0,0,3,0,0,4
"10","8/5/2022","Crystal Palace","Luka Milivojević",1990-12-16,"DM",16,15,17,88.2,225,60,5,5,100,8,10,80,0,0,NA,0,0,0,0,1,1,0,3
"11","8/5/2022","Crystal Palace","Tyrick Mitchell",1998-10-04,"LB",90,50,66,75.8,848,304,23,26,88.5,22,25,88,4,10,40,0,0,0,0,3,0,0,4
"12","8/5/2022","Crystal Palace","Marc Guéhi",2000-06-25,"CB",90,93,105,88.6,1813,592,25,25,100,62,64,96.9,6,15,40,0,0,0,0,4,0,0,6
"13","8/5/2022","Crystal Palace","Joachim Andersen",1996-04-01,"CB",90,93,107,86.9,2310,827,24,27,88.9,52,54,96.3,17,26,65.4,0,0.1,0.1,1,10,0,0,2
"14","8/5/2022","Crystal Palace","Nathaniel Clyne",1990-12-12,"RB",90,59,68,86.8,866,239,34,36,94.4,25,28,89.3,0,3,0,0,0.1,0,1,6,0,0,1
"15","8/5/2022","Crystal Palace","Vicente Guaita",1986-06-26,"GK",90,37,39,94.9,887,552,12,12,100,13,13,100,11,13,84.6,0,0,0,0,0,0,0,0
"16","8/5/2022","Arsenal","Gabriel Jesus",1996-12-06,"FW",82,20,28,71.4,315,86,10,13,76.9,8,9,88.9,2,2,100,0,0,0.1,0,2,2,0,3
"17","8/5/2022","Arsenal","Eddie Nketiah",1999-03-30,"FW",8,3,3,100,49,10,2,2,100,1,1,100,0,0,NA,0,0.1,0,1,0,1,0,1
"18","8/5/2022","Arsenal","Martinelli",2001-05-06,"LW",90,24,28,85.7,404,40,12,14,85.7,8,9,88.9,3,4,75,0,0.1,0,1,3,0,0,1
"19","8/5/2022","Arsenal","Bukayo Saka",2000-10-11,"RW",90,25,35,71.4,292,74,16,19,84.2,3,7,42.9,1,4,25,0,0,0.1,0,1,0,0,1
"20","8/5/2022","Arsenal","Granit Xhaka",1991-11-27,"LM",90,41,48,85.4,575,204,22,24,91.7,14,16,87.5,1,3,33.3,0,0,0.1,1,5,1,0,7
"21","8/5/2022","Arsenal","Thomas Partey",1993-04-28,"CM",90,38,47,80.9,640,230,17,22,77.3,16,18,88.9,4,6,66.7,0,0.1,0,1,5,0,0,5
"22","8/5/2022","Arsenal","Martin Ødegaard",1998-05-06,"RM",89,29,41,70.7,419,121,16,21,76.2,7,8,87.5,2,2,100,0,0,0.1,0,0,2,0,3
"23","8/5/2022","Arsenal","Albert Sambi Lokonga",1999-01-14,"CM,RW",1,1,1,100,8,0,1,1,100,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"24","8/5/2022","Arsenal","Oleksandr Zinchenko",1996-05-02,"LB",82,43,55,78.2,663,223,25,29,86.2,17,21,81,1,3,33.3,1,0.3,0.4,2,5,1,0,3
"25","8/5/2022","Arsenal","Kieran Tierney",1997-04-11,"LB",8,2,4,50,26,0,2,4,50,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
"26","8/5/2022","Arsenal","Gabriel Dos Santos",1997-05-10,"CB",90,52,58,89.7,1100,470,16,17,94.1,29,29,100,7,11,63.6,0,0,0,0,5,0,0,1
"27","8/5/2022","Arsenal","William Saliba",2000-11-15,"CB",90,45,48,93.8,868,257,12,12,100,31,32,96.9,2,4,50,0,0,0,0,2,0,0,2
"28","8/5/2022","Arsenal","Ben White",1996-12-17,"RB",90,31,41,75.6,552,317,13,15,86.7,14,18,77.8,2,5,40,0,0.1,0,1,4,2,0,5
"29","8/5/2022","Arsenal","Aaron Ramsdale",1998-02-26,"GK",90,24,32,75,732,527,7,8,87.5,8,8,100,9,16,56.3,0,0,0,0,2,1,0,0
"30","8/6/2022","Fulham","Aleksandar Mitrović",1993-11-03,"FW",90,10,28,35.7,143,20,7,15,46.7,2,7,28.6,1,1,100,0,0.1,0,1,1,0,0,1
"31","8/6/2022","Fulham","Bobby Reid",1992-08-08,"LW,RW",89,19,26,73.1,249,62,12,12,100,6,9,66.7,0,0,NA,0,0.1,0,1,0,2,1,1
"32","8/6/2022","Fulham","Shane Duffy",1991-06-06,"RW",1,0,0,NA,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0
