,Match_Date,Team,Player,DOB,Pos,Min,Att,Live_Pass_Types,Dead_Pass_Types,FK_Pass_Types,TB_Pass_Types,Sw_Pass_Types,Crs_Pass_Types,TI_Pass_Types,CK_Pass_Types,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes
1,8/5/2022,Crystal Palace,Odsonne Édouard,7/5/1997,FW,57,6,6,0,0,0,0,0,0,0,0,0,0,3,0,0
2,8/5/2022,Crystal Palace,Jean-Philippe Mateta,5/27/1997,FW,33,10,10,0,0,0,0,0,0,0,0,0,0,8,0,1
3,8/5/2022,Crystal Palace,Wilfried Zaha,2/23/1992,LW,90,39,39,0,0,1,0,4,0,0,0,0,0,30,0,2
4,8/5/2022,Crystal Palace,Jordan Ayew,10/26/1990,"RW,AM",90,34,34,0,0,0,0,4,0,0,0,0,0,27,0,0
5,8/5/2022,Crystal Palace,Eberechi Eze,5/29/1998,AM,85,41,30,10,5,0,0,5,0,3,1,2,0,32,1,2
6,8/5/2022,Crystal Palace,Malcolm Ebiowei,10/9/2002,RW,5,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1
7,8/5/2022,Crystal Palace,Jeffrey Schlupp,5/19/1992,DM,85,35,35,0,0,1,0,0,0,0,0,0,0,30,0,0
8,8/5/2022,Crystal Palace,Will Hughes,1/4/1995,DM,5,5,4,1,0,0,0,1,0,0,0,0,0,3,0,1
9,8/5/2022,Crystal Palace,Cheick Doucouré,6/19/1999,DM,74,34,34,0,0,0,0,0,0,0,0,0,0,32,0,0
10,8/5/2022,Crystal Palace,Luka Milivojević,12/16/1990,DM,16,17,17,0,0,0,0,1,0,0,0,0,0,15,0,0
11,8/5/2022,Crystal Palace,Tyrick Mitchell,10/4/1998,LB,90,66,53,13,0,0,0,1,13,0,0,0,0,50,0,3
12,8/5/2022,Crystal Palace,Marc Guéhi,6/25/2000,CB,90,105,104,1,1,0,0,0,0,0,0,0,0,93,0,1
