,Match_Date,Team,Player,DOB,Pos,Min,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,Mis_Dribbles,Dis_Dribbles,Rec_Receiving,Prog_Receiving
1,8/5/2022,Crystal Palace,Odsonne Édouard,1997-07-05,FW,57,20,1,3,9,9,4,20,1,2,50,2,3,10,0
2,8/5/2022,Crystal Palace,Jean-Philippe Mateta,1997-05-27,FW,33,13,0,0,5,8,4,13,0,0,NA,1,0,10,5
3,8/5/2022,Crystal Palace,Wilfried Zaha,1992-02-23,LW,90,51,0,7,17,28,6,51,3,5,60,5,4,41,6
4,8/5/2022,Crystal Palace,Jordan Ayew,1990-10-26,"RW,AM",90,44,1,7,19,20,2,44,6,9,66.7,1,5,34,2
5,8/5/2022,Crystal Palace,Eberechi Eze,1998-05-29,AM,85,53,1,7,25,22,2,53,1,4,25,5,1,31,3
6,8/5/2022,Crystal Palace,Malcolm Ebiowei,2002-10-09,RW,5,5,0,0,0,5,0,5,1,3,33.3,0,0,4,0
7,8/5/2022,Crystal Palace,Jeffrey Schlupp,1992-05-19,DM,85,52,3,11,27,15,3,52,3,4,75,2,1,32,3
8,8/5/2022,Crystal Palace,Will Hughes,1995-01-04,DM,5,4,0,0,2,2,1,4,0,0,NA,0,1,4,1
9,8/5/2022,Crystal Palace,Cheick Doucouré,1999-06-19,DM,74,39,0,12,22,5,0,39,0,0,NA,0,0,24,0
10,8/5/2022,Crystal Palace,Luka Milivojević,1990-12-16,DM,16,17,0,2,10,5,0,17,0,0,NA,0,0,14,0
11,8/5/2022,Crystal Palace,Tyrick Mitchell,1998-10-04,LB,90,75,8,25,39,12,0,75,0,1,0,1,1,48,2
12,8/5/2022,Crystal Palace,Marc Guéhi,2000-06-25,CB,90,114,10,59,52,3,0,114,0,0,NA,0,0,93,0
13,8/5/2022,Crystal Palace,Joachim Andersen,1996-04-01,CB,90,123,16,73,43,7,3,123,0,0,NA,0,0,91,0
14,8/5/2022,Crystal Palace,Nathaniel Clyne,1990-12-12,RB,90,73,2,20,37,17,0,73,1,1,100,0,0,48,0
15,8/5/2022,Crystal Palace,Vicente Guaita,1986-06-26,GK,90,40,34,40,0,0,0,40,0,0,NA,0,0,26,0
16,8/5/2022,Arsenal,Gabriel Jesus,1996-12-06,FW,82,40,0,1,23,17,9,40,6,6,100,4,4,35,7
17,8/5/2022,Arsenal,Eddie Nketiah,1999-03-30,FW,8,4,0,1,3,1,0,4,1,1,100,1,0,2,0
18,8/5/2022,Arsenal,Martinelli,2001-05-06,LW,90,35,1,1,18,17,3,35,3,3,100,1,3,30,6
19,8/5/2022,Arsenal,Bukayo Saka,2000-10-11,RW,90,48,2,8,13,28,8,48,1,3,33.3,3,2,32,9
20,8/5/2022,Arsenal,Granit Xhaka,1991-11-27,LM,90,60,7,18,29,14,1,60,0,0,NA,1,1,39,1
