,Match_Date,Team,Player,DOB,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG_Expected,npxG_Expected,xAG_Expected,SCA_SCA,GCA_SCA,Cmp_Passes,Att_Passes,Cmp_percent_Passes,Prog_Passes,Succ_Dribbles,Att_Dribbles,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon,Club
1,8/5/2022,Crystal Palace,Odsonne Édouard,1997-07-05,FW,57,0,0,0,0,3,1,0,0,20,0,0,0,0.2,0.2,0,1,0,3,6,50,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8/5/2022,Crystal Palace,Jean-Philippe Mateta,1997-05-27,FW,33,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.2,0,0,8,10,80,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8/5/2022,Crystal Palace,Wilfried Zaha,1992-02-23,LW,90,0,0,0,0,1,0,0,0,51,3,0,0,0.1,0.1,0.6,3,0,30,39,76.9,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,8/5/2022,Crystal Palace,Jordan Ayew,1990-10-26,"RW,AM",90,0,0,0,0,1,0,0,0,44,2,0,0,0.1,0.1,0.1,7,0,27,34,79.4,0,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,8/5/2022,Crystal Palace,Eberechi Eze,1998-05-29,AM,85,0,0,0,0,1,1,0,0,53,1,0,1,0.5,0.5,0,1,0,32,41,78,0,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,8/5/2022,Crystal Palace,Malcolm Ebiowei,2002-10-09,RW,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,66.7,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,8/5/2022,Crystal Palace,Jeffrey Schlupp,1992-05-19,DM,85,0,0,0,0,3,0,0,0,52,4,1,2,0.2,0.2,0,1,0,30,35,85.7,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,8/5/2022,Crystal Palace,Will Hughes,1995-01-04,DM,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,5,60,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,8/5/2022,Crystal Palace,Cheick Doucouré,1999-06-19,DM,74,0,0,0,0,0,0,0,0,39,1,1,1,0,0,0,1,0,32,34,94.1,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,8/5/2022,Crystal Palace,Luka Milivojević,1990-12-16,DM,16,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,15,17,88.2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,8/5/2022,Crystal Palace,Tyrick Mitchell,1998-10-04,LB,90,0,0,0,0,0,0,0,0,75,1,2,2,0,0,0,0,0,50,66,75.8,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,8/5/2022,Crystal Palace,Marc Guéhi,2000-06-25,CB,90,0,0,0,0,0,0,0,0,114,0,1,4,0,0,0,0,0,93,105,88.6,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,8/5/2022,Crystal Palace,Joachim Andersen,1996-04-01,CB,90,0,0,0,0,0,0,0,0,123,6,2,0,0,0,0.1,2,0,93,107,86.9,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,8/5/2022,Crystal Palace,Nathaniel Clyne,1990-12-12,RB,90,0,0,0,0,0,0,1,0,73,0,1,0,0,0,0.1,2,0,59,68,86.8,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,8/5/2022,Crystal Palace,Vicente Guaita,1986-06-26,GK,90,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,37,39,94.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,8/5/2022,Arsenal,Gabriel Jesus,1996-12-06,FW,82,0,0,0,0,1,0,0,0,40,1,1,0,0.1,0.1,0,4,0,20,28,71.4,3,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,8/5/2022,Arsenal,Eddie Nketiah,1999-03-30,FW,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.1,2,0,3,3,100,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,8/5/2022,Arsenal,Martinelli,2001-05-06,LW,90,1,0,0,0,2,1,0,0,35,0,0,1,0.4,0.4,0.1,1,0,24,28,85.7,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,8/5/2022,Arsenal,Bukayo Saka,2000-10-11,RW,90,0,0,0,0,3,0,0,0,48,2,0,3,0.3,0.3,0,3,1,25,35,71.4,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,8/5/2022,Arsenal,Granit Xhaka,1991-11-27,LM,90,0,0,0,0,0,0,1,0,60,1,2,2,0,0,0,3,0,41,48,85.4,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,8/5/2022,Arsenal,Thomas Partey,1993-04-28,CM,90,0,0,0,0,1,0,0,0,62,6,1,3,0.1,0.1,0.1,1,0,38,47,80.9,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,8/5/2022,Arsenal,Martin Ødegaard,1998-05-06,RM,89,0,0,0,0,2,0,0,0,52,2,0,0,0.1,0.1,0,0,0,29,41,70.7,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,8/5/2022,Arsenal,Albert Sambi Lokonga,1999-01-14,"CM,RW",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,8/5/2022,Arsenal,Oleksandr Zinchenko,1996-05-02,LB,82,0,1,0,0,1,1,0,0,67,5,3,0,0,0,0.3,2,1,43,55,78.2,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,8/5/2022,Arsenal,Kieran Tierney,1997-04-11,LB,8,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,2,4,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,8/5/2022,Arsenal,Gabriel Dos Santos,1997-05-10,CB,90,0,0,0,0,0,0,0,0,67,1,1,2,0,0,0,0,0,52,58,89.7,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,8/5/2022,Arsenal,William Saliba,2000-11-15,CB,90,0,0,0,0,0,0,0,0,59,1,0,2,0,0,0,1,0,45,48,93.8,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,8/5/2022,Arsenal,Ben White,1996-12-17,RB,90,0,0,0,0,0,0,1,0,63,8,1,4,0,0,0.1,1,0,31,41,75.6,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,8/5/2022,Arsenal,Aaron Ramsdale,1998-02-26,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,24,32,75,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,8/6/2022,Fulham,Aleksandar Mitrović,1993-11-03,FW,90,2,0,1,1,2,1,0,0,46,1,1,1,0.9,0.2,0.1,4,1,10,28,35.7,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,8/6/2022,Fulham,Bobby Reid,1992-08-08,"LW,RW",89,0,0,0,0,1,1,1,0,37,2,0,0,0,0,0.1,1,0,19,26,73.1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,8/6/2022,Fulham,Shane Duffy,1991-06-06,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,8/6/2022,Fulham,Neeskens Kebano,1991-10-20,RW,65,0,0,0,0,1,0,0,0,23,1,0,0,0,0,0.1,1,1,11,15,73.3,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,8/6/2022,Fulham,Manor Solomon,1999-07-17,"LW,RW",25,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,1,2,3,66.7,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,8/6/2022,Fulham,Andreas Pereira,1995-06-05,AM,88,0,0,0,0,1,0,0,0,37,0,0,0,0.1,0.1,0,2,0,16,30,53.3,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,8/6/2022,Fulham,Tom Cairney,1990-07-14,AM,2,0,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,8/6/2022,Fulham,João Palhinha,1995-06-18,DM,90,0,0,0,0,2,0,0,0,41,6,1,3,0.1,0.1,0,1,0,20,26,76.9,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,8/6/2022,Fulham,Harrison Reed,1994-07-27,DM,90,0,0,0,0,1,0,0,0,49,3,2,1,0.1,0.1,0,1,0,19,34,55.9,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,8/6/2022,Fulham,Antonee Robinson,1996-08-16,LB,90,0,0,0,0,0,0,0,0,54,1,2,0,0,0,0,0,0,27,46,58.7,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,8/6/2022,Fulham,Tim Ream,1986-12-13,CB,90,0,0,0,0,0,0,0,0,41,1,1,1,0,0,0,2,0,19,27,70.4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,8/6/2022,Fulham,Tosin Adarabioyo,1996-11-18,CB,90,0,0,0,0,0,0,0,0,37,2,1,0,0,0,0,0,0,17,26,65.4,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,8/6/2022,Fulham,Kenny Tete,1994-12-19,RB,90,0,1,0,0,0,0,1,0,57,5,2,1,0,0,0.1,1,1,30,47,63.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,8/6/2022,Fulham,Marek Rodák,1996-04-27,GK,90,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,13,32,40.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,8/6/2022,Liverpool,Roberto Firmino,1990-12-06,FW,50,0,0,0,0,0,0,0,0,33,1,0,1,0,0,0,0,0,19,26,73.1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,8/6/2022,Liverpool,Darwin Núñez,1999-05-18,FW,40,1,1,0,0,4,2,0,0,13,0,0,0,0.6,0.6,0.5,1,0,5,6,83.3,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,8/6/2022,Liverpool,Luis Díaz,1996-06-28,LW,77,0,0,0,0,2,0,0,0,30,0,0,1,0.2,0.2,0,1,0,19,23,82.6,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,8/6/2022,Liverpool,Fabio Carvalho,2001-09-28,LW,13,0,0,0,0,1,0,0,0,5,0,2,0,0,0,0,1,1,2,2,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,8/6/2022,Liverpool,Mohamed Salah,1992-05-01,RW,90,1,0,0,0,2,1,0,0,45,0,1,0,0.4,0.4,0.1,2,0,24,34,70.6,4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,8/6/2022,Liverpool,Thiago Alcántara,1990-12-23,LM,50,0,0,0,0,0,0,0,0,60,0,1,2,0,0,0.1,1,0,47,54,87,9,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,8/6/2022,Liverpool,Harvey Elliott,2002-12-06,"RM,LM",40,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,4,2,17,21,81,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,8/6/2022,Liverpool,Fabinho,1993-01-16,CM,58,0,0,0,0,0,0,0,0,42,1,1,2,0,0,0,1,0,29,37,78.4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,8/6/2022,Liverpool,James Milner,1985-06-13,LM,32,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,2,1,12,19,63.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,8/6/2022,Liverpool,Jordan Henderson,1990-05-06,"RM,CM",90,0,0,0,0,2,0,0,0,73,0,1,2,0.1,0.1,0.2,3,0,46,65,70.8,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,8/6/2022,Liverpool,Andrew Robertson,1993-10-21,LB,90,0,0,0,0,0,0,0,0,89,2,0,3,0,0,0,0,0,59,79,74.7,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,8/6/2022,Liverpool,Virgil van Dijk,1991-06-17,CB,90,0,0,0,0,0,0,0,0,106,2,0,2,0,0,0,1,0,79,96,82.3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,8/6/2022,Liverpool,Joël Matip,1990-08-18,CB,90,0,0,0,0,0,0,0,0,106,3,2,1,0,0,0,0,0,79,93,84.9,6,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,8/6/2022,Liverpool,Trent Alexander-Arnold,1997-12-14,RB,90,0,0,0,0,0,0,0,0,92,2,1,1,0,0,0,3,0,49,85,57.6,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,8/6/2022,Liverpool,Alisson,1991-12-06,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,28,35,80,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,8/6/2022,Tottenham Hotspur,Harry Kane,1993-07-26,FW,90,0,0,0,0,2,2,0,0,37,0,0,2,0.1,0.1,0.2,5,0,19,29,65.5,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,8/6/2022,Tottenham Hotspur,Son Heung-min,1992-06-16,AM,90,0,1,0,0,4,2,0,0,51,3,0,1,0.4,0.4,0.4,4,1,26,41,63.4,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,8/6/2022,Tottenham Hotspur,Dejan Kulusevski,2000-01-18,AM,85,1,1,0,0,2,1,0,0,56,4,0,1,0.1,0.1,0.5,9,2,38,43,88.4,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,8/6/2022,Tottenham Hotspur,Lucas Moura,1991-08-28,AM,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,2,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,8/6/2022,Tottenham Hotspur,Pierre Højbjerg,1995-08-11,CM,90,0,0,0,0,0,0,0,0,80,3,0,1,0,0,0.1,4,1,61,69,88.4,11,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,8/6/2022,Tottenham Hotspur,Rodrigo Bentancur,1997-05-20,CM,85,0,0,0,0,0,0,1,0,71,5,1,0,0,0,0,2,0,56,63,88.9,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,8/6/2022,Tottenham Hotspur,Yves Bissouma,1995-09-30,CM,5,0,0,0,0,1,0,1,0,8,1,0,1,0,0,0,1,0,4,5,80,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,8/6/2022,Tottenham Hotspur,Ryan Sessegnon,2000-03-04,WB,65,1,0,0,0,2,1,1,0,58,2,0,2,0.4,0.4,0,1,0,36,48,75,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,8/6/2022,Tottenham Hotspur,Ivan Perišić,1988-08-09,WB,25,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,1,0,6,9,66.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,8/6/2022,Tottenham Hotspur,Emerson,1998-06-30,WB,86,0,1,0,0,3,0,0,0,69,3,0,2,0.2,0.2,0.2,5,2,47,57,82.5,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,8/6/2022,Tottenham Hotspur,Matt Doherty,1991-07-06,WB,4,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,3,33.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,8/6/2022,Tottenham Hotspur,Ben Davies,1993-01-17,CB,85,0,0,0,0,1,1,0,0,78,1,0,0,0,0,0,1,0,62,72,86.1,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,8/6/2022,Tottenham Hotspur,Clément Lenglet,1995-05-05,CB,5,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,6,6,100,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,8/6/2022,Tottenham Hotspur,Eric Dier,1993-07-03,CB,90,1,0,0,0,1,1,0,0,67,0,1,0,0.1,0.1,0,0,0,55,63,87.3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,8/6/2022,Tottenham Hotspur,Cristian Romero,1998-01-22,CB,90,0,0,0,0,2,0,0,0,80,0,1,0,0.2,0.2,0,0,0,63,74,85.1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,8/6/2022,Tottenham Hotspur,Hugo Lloris,1986-05-26,GK,90,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,19,20,95,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,8/6/2022,Southampton,Adam Armstrong,1996-08-23,FW,45,0,0,0,0,1,0,0,0,13,0,0,1,0,0,0,0,0,10,10,100,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,8/6/2022,Southampton,Stuart Armstrong,1991-11-29,"LM,FW",45,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,13,15,86.7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,8/6/2022,Southampton,Joe Aribo,1996-07-11,FW,90,0,0,0,0,1,1,0,0,32,1,1,0,0,0,0,1,0,16,21,76.2,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,8/6/2022,Southampton,Oriol Romeu,1990-11-20,CM,74,0,0,0,0,0,0,0,0,37,1,1,1,0,0,0,3,0,28,30,93.3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,8/6/2022,Southampton,Ibrahima Diallo,1998-10-14,CM,16,0,0,0,0,1,0,0,0,15,0,1,1,0.1,0.1,0,1,0,9,9,100,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,8/6/2022,Southampton,Roméo Lavia,2003-06-13,CM,90,0,0,0,0,1,0,0,0,61,2,1,2,0,0,0,1,0,50,52,96.2,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,8/6/2022,Southampton,James Ward-Prowse,1994-02-03,"CM,RM",90,1,0,0,0,2,1,0,0,51,2,1,0,0.1,0.1,0.2,3,0,34,45,75.6,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,8/6/2022,Southampton,Moussa Djenepo,1998-04-30,LB,71,0,1,0,0,1,0,0,0,32,0,1,1,0,0,0.1,2,2,20,27,74.1,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,8/6/2022,Southampton,Romain Perraud,1996-11-14,LB,19,0,0,0,0,2,0,0,0,12,1,0,0,0.1,0.1,0,1,0,5,8,62.5,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,8/6/2022,Southampton,Mohammed Salisu,1999-01-02,CB,90,0,0,0,0,1,0,0,0,73,2,3,4,0.1,0.1,0,2,0,42,54,77.8,6,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,8/6/2022,Southampton,Jan Bednarek,1995-12-24,CB,90,0,0,0,0,0,0,0,0,60,0,2,1,0,0,0.1,2,0,47,52,90.4,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,8/6/2022,Southampton,Yan Valery,1998-09-16,CB,45,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,15,23,65.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,8/6/2022,Southampton,Jack Stephens,1993-07-27,CB,45,0,0,0,0,0,0,0,0,31,1,1,1,0,0,0,0,0,23,27,85.2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,8/6/2022,Southampton,Kyle Walker-Peters,1996-12-25,RB,89,0,0,0,0,0,0,0,0,46,2,1,1,0,0,0,1,0,26,35,74.3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,8/6/2022,Southampton,Nathan Redmond,1993-10-11,RB,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,8/6/2022,Southampton,Gavin Bazunu,2001-09-11,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,13,36,36.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,8/6/2022,Newcastle United,Callum Wilson,1991-09-28,FW,89,1,0,0,0,4,2,0,0,16,0,0,0,0.6,0.6,0.1,1,0,5,8,62.5,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,8/6/2022,Newcastle United,Chris Wood,1991-04-17,FW,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,8/6/2022,Newcastle United,Allan Saint-Maximin,1996-10-22,LW,89,0,0,0,0,4,1,0,0,60,0,1,0,0.3,0.3,0,9,1,35,52,67.3,7,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,8/6/2022,Newcastle United,Jacob Murphy,1994-09-21,"LW,LM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,8/6/2022,Newcastle United,Miguel Almirón,1993-08-24,RW,80,0,0,0,0,1,1,0,0,50,2,0,1,0.1,0.1,0.3,6,0,32,39,82.1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
