"","Player","Min","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Vs_Dribbles","Att_Vs_Dribbles","Tkl_percent_Vs_Dribbles","Past_Vs_Dribbles","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"1","Aaron Cresswell",1240,13,6,7,6,0,6,16,NA,10,13,7,6,14,27,33,0
"2","Aaron Hickey",679,20,14,12,8,0,8,14,NA,6,9,4,5,10,30,11,0
"3","Aarón Martín",1241,30,21,17,9,4,15,18,NA,3,12,1,11,11,41,17,0
"4","Aaron Mooy",423,8,5,4,3,1,6,9,NA,3,6,4,2,4,12,10,0
"5","Aaron Ramsdale",1260,1,1,1,0,0,1,1,NA,0,0,0,0,0,1,7,2
"6","Aaron Ramsey",844,18,9,7,9,2,6,14,NA,8,12,2,10,9,27,11,0
"7","Aaron Wan-Bissaka",5,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0
"8","Abakar Sylla",402,5,1,5,0,0,3,3,NA,0,7,5,2,4,9,15,1
"9","Abdallah Sima",555,6,1,0,5,1,0,4,NA,4,1,0,1,2,8,6,0
"10","Abdelhamid Sabiri",873,14,5,5,5,4,3,11,NA,8,16,2,14,5,19,3,0
"11","Abdelkarim Hassan",270,7,3,5,2,0,3,4,NA,1,3,1,2,1,8,5,0
"12","Abderrazak Hamdallah",28,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"13","Abdessamad Ezzalzouli",338,12,9,5,6,1,5,5,NA,0,8,0,8,2,14,2,0
"14","Abdón Prats",137,1,0,1,0,0,0,0,NA,0,1,0,1,0,1,2,0
"15","Abdou Diallo",904,12,9,9,3,0,4,7,NA,3,6,5,1,9,21,29,0
"16","Abdou Harroui",271,6,0,3,1,2,1,6,NA,5,3,1,2,0,6,2,0
"17","Abdoul Kader Bamba",78,0,0,0,0,0,0,2,NA,2,3,1,2,0,0,1,0
"18","Abdoulaye Bamba",375,12,5,7,4,1,8,8,NA,0,3,0,3,7,19,7,0
"19","Abdoulaye Doucouré",186,6,4,1,5,0,1,3,NA,2,2,0,2,0,6,2,0
"20","Abdoulaye Seck",397,7,7,6,0,1,5,7,NA,2,9,5,4,4,11,18,0
"21","Abdu Conté",466,12,9,5,4,3,8,13,NA,5,4,2,2,1,13,7,0
"22","Abdul Fatawu Issahaku",89,4,3,3,1,0,0,0,NA,0,1,0,1,0,4,2,0
"23","Abdul Mumin",102,0,0,0,0,0,0,0,NA,0,1,1,0,1,1,2,0
"24","Abdulaziz Hatem",196,1,1,0,0,1,1,2,NA,1,0,0,0,1,2,0,0
"25","Abdulelah Al-Amri",182,1,0,1,0,0,0,1,NA,1,1,1,0,4,5,9,0
"26","Abdulellah Al-Malki",174,3,1,3,0,0,1,3,50,2,3,0,3,2,5,4,1
"27","Abdullah Madu",45,1,0,1,0,0,0,0,NA,0,3,2,1,1,2,1,0
"28","Abdulrahman Al-Aboud",35,3,3,2,1,0,1,5,NA,4,0,0,0,0,3,0,0
"29","Abolfazl Jalali",19,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0
"30","Achraf Dari",721,11,9,9,2,0,8,11,NA,3,9,5,4,11,22,27,2
"31","Achraf Hakimi",1678,44,26,21,13,10,24,41,NA,17,20,1,19,12,56,13,0
"32","Adam Armstrong",869,8,4,3,3,2,0,4,NA,4,13,3,10,2,10,4,0
"33","Adam Buksa",63,1,0,0,0,1,0,0,NA,0,0,0,0,0,1,0,0
"34","Adam Forshaw",50,0,0,0,0,0,0,3,NA,3,3,0,3,0,0,0,0
"35","Adam Hložek",851,8,4,6,1,1,2,5,NA,3,8,1,7,2,10,11,0
"36","Adam Kronus",3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
