"","Player","Min","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"1","Aaron Cresswell",1240,2,0,0,7,5,1,81,14,6,0,0,0,68,22,13,NA
"2","Aaron Hickey",679,4,0,0,7,17,0,13,10,14,0,0,0,32,4,4,NA
"3","Aarón Martín",1241,1,0,0,15,6,2,108,11,21,0,0,0,55,1,7,NA
"4","Aaron Mooy",423,1,0,0,4,1,0,20,4,5,0,0,0,36,4,3,NA
"5","Aaron Ramsdale",1260,0,0,0,0,2,0,0,0,1,0,0,0,8,2,0,NA
"6","Aaron Ramsey",844,1,0,0,10,13,2,29,9,9,1,0,0,66,3,8,NA
"7","Aaron Wan-Bissaka",5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,33.3
"8","Abakar Sylla",402,3,0,0,8,1,0,0,4,1,0,0,0,25,6,5,NA
"9","Abdallah Sima",555,0,0,0,10,7,2,6,2,1,0,0,0,12,16,16,NA
"10","Abdelhamid Sabiri",937,4,0,0,23,29,0,45,7,5,0,0,0,41,26,18,NA
"11","Abdelkarim Hassan",270,0,0,0,1,4,1,6,1,3,0,0,0,11,3,1,NA
"12","Abderrazak Hamdallah",43,0,0,0,3,1,0,0,0,0,0,0,0,1,1,7,NA
"13","Abdessamad Ezzalzouli",338,1,0,0,11,9,0,12,2,9,0,0,0,14,1,1,NA
"14","Abdón Prats",137,0,0,0,2,4,1,0,0,0,0,0,0,5,1,8,NA
"15","Abdou Diallo",904,2,0,0,5,3,1,5,9,9,0,1,0,59,21,19,711.4
"16","Abdou Harroui",291,1,0,0,6,0,0,7,0,0,0,0,0,19,4,3,NA
"17","Abdoul Kader Bamba",78,0,0,0,3,2,1,3,0,0,0,0,0,5,2,0,NA
"18","Abdoulaye Bamba",375,2,0,0,5,5,1,7,7,5,0,0,0,20,6,5,NA
"19","Abdoulaye Doucouré",186,0,0,0,2,0,0,0,0,4,0,1,0,14,4,4,NA
"20","Abdoulaye Seck",397,2,0,0,3,1,0,0,4,7,0,0,0,39,15,3,546.7
"21","Abdu Conté",466,0,0,0,8,3,1,16,1,9,0,2,0,23,5,3,NA
"22","Abdul Fatawu Issahaku",89,0,0,0,0,2,0,2,0,3,0,0,0,5,1,3,50
"23","Abdul Mumin",102,0,0,0,0,0,0,0,1,0,0,0,0,6,1,1,NA
"24","Abdulaziz Hatem",196,0,0,0,4,1,0,1,1,1,0,0,0,4,1,2,NA
"25","Abdulelah Al-Amri",182,2,0,0,3,3,0,1,4,0,0,0,0,15,10,4,NA
"26","Abdulellah Al-Malki",174,2,0,0,8,4,0,1,2,1,0,0,0,9,0,1,NA
"27","Abdullah Madu",45,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,50
"28","Abdulrahman Al-Aboud",35,0,0,0,0,0,0,2,0,3,0,0,0,1,1,1,NA
"29","Abolfazl Jalali",19,1,0,0,1,4,0,2,0,0,0,0,0,3,0,0,NA
"30","Achraf Dari",721,1,0,0,6,9,1,0,11,9,1,1,0,43,17,14,650
"31","Achraf Hakimi",1762,3,0,0,13,14,2,23,14,29,0,0,0,90,9,7,NA
"32","Adam Armstrong",869,0,0,0,8,5,1,12,2,4,0,0,0,36,2,13,NA
"33","Adam Buksa",63,0,0,0,3,1,0,1,0,0,0,0,0,2,1,2,NA
"34","Adam Forshaw",50,0,0,0,0,1,0,3,0,0,0,0,0,4,0,0,NA
"35","Adam Hložek",851,1,0,0,11,16,1,15,2,4,0,0,0,22,16,25,NA
"36","Adam Kronus",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"37","Adam Lallana",489,0,0,0,2,4,0,3,2,4,0,0,0,22,6,6,NA
"38","Adam Marušić",1301,4,0,0,10,10,0,6,13,9,0,0,0,72,15,13,NA
"39","Adam Masina",304,0,0,0,2,0,0,5,7,3,0,0,0,12,13,5,NA
"40","Adam Ounas",678,1,0,0,11,21,2,47,4,5,0,0,0,40,5,4,NA
"41","Adam Smith",1305,4,0,0,14,6,0,17,12,17,0,0,0,63,12,19,NA
"42","Adam Vlkanova",458,0,0,0,6,9,1,14,2,2,0,0,0,35,4,3,NA
"43","Adam Webster",1170,1,0,0,5,4,0,2,13,7,0,0,1,89,33,17,NA
"44","Adama Soumaoro",782,3,1,1,11,3,0,0,8,7,0,0,0,37,12,5,NA
"45","Adama Traoré",622,0,0,0,7,12,1,40,0,2,0,0,0,28,17,8,NA
"46","Ademola Lookman",858,1,0,0,11,17,8,22,1,1,1,0,0,41,1,6,NA
"47","Adil Aouchiche",43,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,NA
"48","Adil Rami",539,1,0,0,5,4,1,3,9,7,0,0,0,26,10,8,461.1
"49","Adnan Januzaj",99,0,0,0,1,4,0,2,2,1,0,0,0,9,2,1,NA
"50","Ado Onaiwu",288,0,0,0,3,1,0,1,0,3,0,0,0,10,11,8,NA
"51","Adri Embarba",458,4,1,1,9,9,5,40,3,7,0,0,0,26,2,11,NA
"52","Adrian Grbić",25,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0
"53","Adrien Hunou",1088,1,0,0,7,24,3,6,0,13,1,0,0,52,9,12,NA
"54","Adrien Rabiot",1586,1,0,0,27,19,1,19,20,24,0,0,0,106,26,16,NA
"55","Adrien Tameze",1061,1,0,0,11,10,1,6,10,9,0,0,0,77,12,9,NA
"56","Adrien Thomasson",757,2,0,0,12,16,2,5,2,7,0,0,0,66,4,4,NA
"57","Adrien Truffert",1115,1,0,0,7,15,2,17,17,18,0,0,0,76,25,19,NA
"58","Agustín Álvarez Martínez",170,1,0,0,4,1,2,2,2,2,0,0,0,12,6,5,NA
"59","Agustín Marchesín",1260,3,0,0,0,4,0,0,0,0,0,0,0,17,3,0,NA
"60","Agustín Rogel",675,4,0,0,11,4,1,0,9,6,0,0,0,27,18,15,439.6
"61","Ahmad Nourollahi",223,0,0,0,2,0,0,3,6,3,0,0,0,15,1,0,NA
"62","Ahmed Alaaeldin",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"63","Aihen Muñoz",666,0,0,0,11,4,0,17,3,9,0,0,0,27,8,9,NA
"64","Aimar Oroz",774,3,0,0,16,24,2,3,11,5,0,0,0,40,6,13,NA
"65","Aimen Dahmen",270,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NA
"66","Ainsley Maitland-Niles",412,2,0,0,3,3,0,4,3,5,0,0,0,27,1,5,NA
"67","Aïssa Laïdouni",243,1,0,0,3,6,0,3,4,3,0,0,0,25,3,1,NA
"68","Aïssa Mandi",261,0,0,0,6,3,1,1,7,3,0,0,0,12,3,2,NA
"69","Aitor Fernández",360,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,NA
"70","Aitor Paredes",23,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,NA
"71","Aitor Ruibal",563,1,0,0,13,6,2,7,13,8,0,0,0,30,4,6,NA
"72","Ajdin Hrustic",250,0,0,0,8,3,0,7,1,1,0,0,0,12,1,5,NA
"73","Akim Zedadka",354,1,0,0,5,8,1,7,2,1,0,0,0,24,5,5,NA
"74","Akram Afif",270,1,0,0,2,6,1,13,0,0,0,0,0,14,1,1,NA
"75","Alan Franco",46,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,NA
"76","Alan Virginius",66,0,0,0,1,0,0,2,1,0,0,0,0,1,0,2,NA
"77","Alassane Pléa",825,2,0,0,12,15,0,25,9,2,0,0,0,40,6,8,NA
