"","Player","Min","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA","KP","Final_Third","PPA","CrsPA","Prog"
"1","Aaron Cresswell",1240,680,867,1103.4,11118,5112,378,409,1292.1,237,296,1096.7,59,120,NA,0,2.5,2,30,56,20,10,56
"2","Aaron Hickey",679,229,287,715.7,3256,931,144,161,785.7,71,88,734.1,8,23,NA,0,0,0,1,19,5,1,14
"3","Aarón Martín",1241,529,700,1125.4,8783,3609,273,297,1389.8,193,245,1150.8,51,121,663.2,2,1.6,2,19,58,22,13,52
"4","Aaron Mooy",423,226,295,612.6,3419,1066,122,140,696.4,72,95,556.6,15,30,396.7,0,0.2,0.6,3,27,3,1,19
"5","Aaron Ramsdale",1260,281,408,967,7548,5293,70,74,1335,128,130,1382.6,83,203,584.6,0,0,0,0,11,1,0,2
"6","Aaron Ramsey",844,414,499,1204.6,7270,1542,191,208,1333.1,145,171,1273.5,53,80,956.6,0,0.3,0.6,10,24,5,1,26
"7","Aaron Wan-Bissaka",5,1,2,50,12,12,1,1,100,0,0,NA,0,1,0,0,0,0,0,0,0,0,0
"8","Abakar Sylla",402,230,260,444.1,4464,1554,79,85,466.6,117,123,475.7,27,44,317.4,0,0,0,1,7,0,0,9
"9","Abdallah Sima",555,82,115,946.7,899,267,41,54,NA,21,33,873.4,1,3,NA,0,0.8,0.8,6,6,3,1,7
"10","Abdelhamid Sabiri",873,260,392,856.4,4737,1422,117,147,989.3,97,137,913.5,36,77,NA,1,2.2,1.1,14,35,12,0,31
"11","Abdelkarim Hassan",270,122,161,224.8,2462,813,57,63,274.2,44,51,252.9,20,37,167.1,0,0,0,1,13,1,0,8
"12","Abderrazak Hamdallah",28,3,4,NA,21,11,2,2,NA,0,1,NA,0,0,NA,0,0,0,0,1,0,0,0
"13","Abdessamad Ezzalzouli",338,82,125,594.6,1062,242,57,76,NA,19,27,NA,3,8,NA,2,0.8,1.4,3,3,6,1,7
"14","Abdón Prats",137,26,34,NA,373,64,14,18,NA,6,9,NA,3,3,NA,0,0.1,0,1,0,0,0,0
"15","Abdou Diallo",904,566,669,1053.2,10992,4463,210,232,1115.8,286,312,1152.2,65,109,NA,0,0.3,0.4,3,54,8,1,45
"16","Abdou Harroui",291,105,133,878,1684,410,48,53,1122.8,49,56,NA,6,11,NA,0,0,0,1,15,3,1,6
"17","Abdoul Kader Bamba",78,36,44,372.4,485,148,16,20,NA,15,17,NA,0,1,NA,0,0,0,1,2,0,0,2
"18","Abdoulaye Bamba",375,134,170,546.3,2322,937,58,63,652.5,62,78,535.4,11,21,NA,0,0.3,0.3,3,15,2,2,8
"19","Abdoulaye Doucouré",186,72,94,454.3,961,212,37,51,NA,28,33,509.6,1,2,NA,0,0,0,0,3,0,0,0
"20","Abdoulaye Seck",397,158,188,495.6,2883,1048,60,68,451.2,86,93,542.9,8,19,283.3,0,0,0,0,5,0,0,6
"21","Abdu Conté",466,245,291,662,4402,1608,106,122,692.6,114,129,675.6,21,30,NA,0,1.2,1,7,18,7,3,20
"22","Abdul Fatawu Issahaku",89,20,27,137.3,338,56,11,14,148.5,8,11,170,1,2,100,0,0,0,0,1,0,0,0
"23","Abdul Mumin",102,67,79,169.2,1341,326,19,24,173.7,41,44,181.9,7,11,126.7,0,0,0,1,2,0,0,1
"24","Abdulaziz Hatem",196,72,91,246.6,973,231,46,53,272.4,17,22,254.5,4,6,150,0,0,0,1,3,0,0,1
"25","Abdulelah Al-Amri",92,51,63,NA,1115,506,19,23,NA,20,23,NA,12,16,NA,0,0,0,0,8,0,0,9
"26","Abdulellah Al-Malki",174,66,84,156.2,1057,288,30,32,187.4,31,42,143.3,4,7,140,0,0,0,0,3,0,0,3
"27","Abdulrahman Al-Aboud",6,2,6,33.3,23,0,1,1,100,1,4,25,0,0,NA,0,0,0,0,0,0,0,0
