"","Player","Min","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"1","Aaron Cresswell",1240,867,704,161,20,1,3,81,109,32,2,26,0,680,2,19
"2","Aaron Hickey",679,287,256,31,6,0,1,13,25,0,0,0,0,229,0,7
"3","Aarón Martín",1241,700,486,212,28,0,2,108,141,43,31,11,0,529,2,16
"4","Aaron Mooy",423,295,279,16,7,0,3,20,2,7,1,3,0,226,0,8
"5","Aaron Ramsdale",1260,408,323,84,26,0,4,0,0,0,0,0,0,281,1,1
"6","Aaron Ramsey",844,499,453,45,19,0,10,29,1,19,7,9,0,414,1,6
"7","Aaron Wan-Bissaka",5,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"8","Abakar Sylla",314,181,174,7,7,0,0,0,0,0,0,0,0,160,0,1
"9","Abdallah Sima",555,115,96,19,0,1,0,6,0,0,0,0,0,82,0,5
"10","Abdelhamid Sabiri",873,392,333,57,28,3,8,45,2,26,5,17,0,260,2,11
"11","Abdelkarim Hassan",270,161,148,13,11,0,10,6,2,0,0,0,0,122,0,8
"12","Abderrazak Hamdallah",28,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
"13","Abdessamad Ezzalzouli",338,125,121,4,2,1,0,12,2,0,0,0,0,82,0,10
"14","Abdón Prats",137,34,30,4,0,0,1,0,0,0,0,0,0,26,0,0
"15","Abdou Diallo",904,669,632,34,21,1,8,5,12,0,0,0,0,566,3,3
"16","Abdou Harroui",291,133,130,3,0,1,1,7,1,0,0,0,0,105,0,5
"17","Abdoul Kader Bamba",78,44,39,5,2,0,1,3,2,1,1,0,0,36,0,1
"18","Abdoulaye Bamba",375,170,146,24,6,0,0,7,18,0,0,0,0,134,0,3
"19","Abdoulaye Doucouré",186,94,94,0,0,0,0,0,0,0,0,0,0,72,0,1
"20","Abdoulaye Seck",397,188,178,8,4,0,2,0,4,0,0,0,0,158,2,2
"21","Abdu Conté",466,291,251,40,4,2,5,16,36,0,0,0,0,245,0,7
