"","Player","Min","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Succ_Dribbles","Att_Dribbles","Succ_percent_Dribbles","Mis_Dribbles","Dis_Dribbles","Rec_Receiving","Prog_Receiving"
"1","Aaron Cresswell",1240,950,54,306,406,241,6,950,2,6,NA,3,5,583,21
"2","Aaron Hickey",679,369,20,101,193,80,7,369,7,25,NA,5,4,228,12
"3","Aarón Martín",1183,748,27,164,343,253,10,747,8,15,NA,8,11,397,16
"4","Aaron Mooy",423,338,16,58,194,88,6,338,2,2,NA,7,5,225,12
"5","Aaron Ramsdale",1260,437,313,431,6,0,0,437,1,1,NA,0,0,228,0
"6","Aaron Ramsey",844,600,22,119,320,167,25,600,11,22,NA,15,15,405,27
"7","Aaron Wan-Bissaka",5,6,2,4,2,0,0,6,0,0,NA,1,0,0,0
"8","Abakar Sylla",402,303,40,138,167,5,2,303,3,5,NA,5,2,213,0
"9","Abdallah Sima",555,166,7,10,88,70,19,166,1,5,NA,19,6,118,33
"10","Abdelhamid Sabiri",795,477,12,53,231,199,24,477,10,33,NA,23,17,323,38
"11","Abdelkarim Hassan",270,193,15,83,95,17,2,193,1,5,33.3,2,0,138,1
"12","Abderrazak Hamdallah",28,9,1,1,4,4,1,9,0,0,NA,2,2,7,1
"13","Abdessamad Ezzalzouli",338,190,0,22,67,107,17,190,6,16,NA,14,10,128,17
"14","Abdón Prats",137,56,2,4,32,20,6,56,1,4,NA,4,5,40,4
"15","Abdou Diallo",904,757,70,304,408,51,10,757,8,8,NA,5,6,540,2
"16","Abdou Harroui",275,153,6,16,82,57,4,153,2,3,NA,4,6,107,13
"17","Abdoul Kader Bamba",78,54,0,8,23,23,2,54,0,1,NA,1,4,40,11
"18","Abdoulaye Bamba",375,208,11,66,120,25,0,208,1,2,NA,4,2,115,4
"19","Abdoulaye Doucouré",186,108,2,24,49,36,7,108,2,2,NA,2,1,69,1
"20","Abdoulaye Seck",397,236,45,126,104,9,4,236,3,3,NA,1,2,131,0
"21","Abdu Conté",466,322,18,110,141,74,5,322,1,9,NA,3,3,231,17
"22","Abdul Fatawu Issahaku",89,37,4,16,17,6,2,37,1,4,33.3,0,2,17,1
"23","Abdul Mumin",102,87,4,36,51,1,0,87,0,1,NA,0,1,63,0
"24","Abdulaziz Hatem",196,98,1,13,65,20,0,98,1,1,NA,1,1,80,2
"25","Abdulelah Al-Amri",92,76,5,28,43,5,1,76,0,0,NA,1,0,44,0
"26","Abdulellah Al-Malki",174,105,6,28,63,17,1,105,0,0,NA,3,0,58,2
"27","Abdulrahman Al-Aboud",6,9,0,1,0,8,2,9,0,1,0,1,0,7,2
"28","Abolfazl Jalali",19,32,1,5,17,11,0,32,1,3,33.3,0,1,18,1
"29","Achraf Dari",721,492,61,250,236,10,8,492,0,0,NA,3,3,302,1
"30","Achraf Hakimi",1678,1156,34,276,436,455,67,1156,13,43,NA,17,22,864,99
"31","Adam Armstrong",869,314,5,41,124,155,32,314,7,28,NA,16,13,192,37
"32","Adam Buksa",63,26,0,0,15,11,5,26,0,0,NA,7,2,23,8
"33","Adam Forshaw",50,27,0,4,19,6,0,27,1,1,NA,0,0,15,0
"34","Adam Hložek",793,325,14,39,139,151,24,325,5,15,NA,25,12,229,51
"35","Adam Kronus",3,6,0,1,3,2,2,6,0,0,NA,0,0,3,0
"36","Adam Lallana",489,250,6,31,114,106,22,250,3,6,NA,10,6,187,30
"37","Adam Marušić",1211,864,40,335,427,108,9,864,2,5,NA,7,7,597,11
"38","Adam Masina",304,175,18,89,73,16,3,175,0,0,NA,1,1,100,0
"39","Adam Ounas",678,441,6,38,175,241,20,441,27,62,NA,19,20,324,36
"40","Adam Smith",1305,719,46,313,313,105,5,719,3,13,NA,10,2,381,5
"41","Adam Vlkanova",458,195,7,37,92,72,9,195,5,13,NA,10,12,101,8
"42","Adam Webster",1170,995,90,445,481,75,14,995,1,6,NA,7,2,670,3
"43","Adama Soumaoro",602,333,39,185,138,10,4,333,0,0,NA,3,0,218,0
"44","Adama Traoré",622,298,5,36,103,163,18,298,15,40,NA,27,13,226,38
"45","Ademola Lookman",858,362,1,25,138,206,57,360,14,27,NA,17,24,284,81
"46","Adil Aouchiche",43,23,1,3,15,5,1,23,0,3,NA,0,0,18,0
"47","Adil Rami",539,274,48,160,100,16,3,274,0,1,NA,3,0,162,0
"48","Adnan Januzaj",99,56,2,9,23,24,2,56,6,10,NA,2,1,36,8
"49","Ado Onaiwu",288,134,1,9,58,67,15,134,1,3,NA,7,4,99,24
