"","Player","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","Prog_Passes","Succ_Dribbles","Att_Dribbles","Fls","Fld","Off","Crs","TklW","OG","PKwon","PKcon","Club"
"1","Aaron Cresswell",1240,0,0,0,0,5,1,2,0,950,13,14,13,0.1,0.1,2.5,45,0,680,867,1103.4,56,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Aaron Greene",212,1,0,0,0,1,1,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA
"3","Aaron Hickey",679,0,0,0,0,3,1,4,0,369,20,10,9,0,0,0,7,0,229,287,715.7,14,7,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Aarón Martín",1241,3,2,0,1,11,4,1,0,786,30,11,12,1.9,1.1,1.6,42,3,529,700,1125.4,52,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Aaron Mooy",333,0,0,0,0,2,0,1,0,292,6,3,6,0.1,0.1,0.2,7,0,204,256,556.2,16,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Aaron Ramsdale",1260,0,0,0,0,0,0,0,0,437,1,0,0,0,0,0,1,0,281,408,967,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Aaron Ramsey",844,1,0,0,0,10,4,1,0,600,18,9,12,1.3,1.3,0.3,27,1,414,499,1204.6,26,11,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Aaron Wan-Bissaka",5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Abakar Sylla",402,1,0,0,0,1,1,3,0,303,5,4,7,0.1,0.1,0,1,0,230,260,444.1,9,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Abbas Huseynov",33,1,0,0,0,1,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,NA,NA,NA
"11","Abdallah Sima",555,0,0,0,0,8,2,0,0,166,6,2,1,1,1,0.8,13,3,82,115,946.7,7,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
