"","Player_Name","DOB","Position"
"1","Vicente Guaita","1987-01-10","GK"
"2","Tyrick Mitchell","1999-09-01","LB"
"3","Marc Guéhi","2000-07-12","CB"
"4","Jordan Ayew","1991-09-11","RW"
"5","Jordan Ayew","1991-09-11","AM"
"6","Eberechi Eze","1998-06-29","AM"
"7","Wilfried Zaha","1992-11-09","LW"
"8","Jeffrey Schlupp","1992-12-22","DM"
"9","Joachim Andersen","1996-05-30","CB"
"10","Nathaniel Clyne","1991-04-05","RB"
"11","Odsonne Édouard","1998-01-16","FW"
"12","Cheick Doucouré","2000-01-08","DM"
"13","Luka Milivojević","1991-04-07","DM"
"14","Jean-Philippe Mateta","1997-06-27","FW"
"15","Will Hughes","1995-04-17","DM"
"16","Malcolm Ebiowei","2003-09-04","RW"
"17","Aaron Ramsdale","1998-05-14","GK"
"18","Ben White","1997-10-08","RB"
"19","Thomas Partey","1993-06-12","CM"
"20","Gabriel Dos Santos","1997-12-19","CB"
"21","Bukayo Saka","2001-09-05","RW"
"22","Martin Ødegaard","1998-12-17","RM"
"23","Gabriel Jesus","1997-04-02","FW"
"24","Martinelli","2001-06-17","LW"
"25","William Saliba","2001-03-23","CB"
"26","Granit Xhaka","1992-09-26","LM"
"27","Oleksandr Zinchenko","1996-12-14","LB"
"28","Kieran Tierney","1997-06-04","LB"
"29","Eddie Nketiah","1999-05-30","FW"
"30","Albert Sambi Lokonga","1999-10-22","CM"
"31","Albert Sambi Lokonga","1999-10-22","RW"
"32","Marek Rodák","1996-12-12","GK"
"33","Kenny Tete","1995-10-09","RB"
"34","Tosin Adarabioyo","1997-09-24","CB"
"35","Harrison Reed","1995-01-27","DM"
"36","Neeskens Kebano","1992-03-09","RW"
"37","Aleksandar Mitrović","1994-09-16","FW"
"38","Tim Ream","1987-10-05","CB"
"39","Bobby Reid","1993-02-01","LW"
"40","Bobby Reid","1993-02-01","RW"
"41","Andreas Pereira","1996-01-01","AM"
"42","João Palhinha","1995-07-09","DM"
"43","Antonee Robinson","1997-08-08","LB"
"44","Shane Duffy","1992-01-01","RW"
"45","Tom Cairney","1991-01-20","AM"
"46","Manor Solomon","1999-07-24","LW"
"47","Manor Solomon","1999-07-24","RW"
"48","Alisson","1992-10-01","GK"
"49","Fabinho","1993-10-23","CM"
"50","Virgil van Dijk","1991-07-08","CB"
"51","Thiago Alcántara","1991-04-11","LM"
"52","Roberto Firmino","1991-10-02","FW"
"53","Mohamed Salah","1992-06-14","RW"
"54","Jordan Henderson","1990-06-17","RM"
"55","Jordan Henderson","1990-06-17","CM"
"56","Luis Díaz","1997-01-12","LW"
"57","Andrew Robertson","1994-03-11","LB"
"58","Joël Matip","1991-08-08","CB"
"59","Trent Alexander-Arnold","1998-10-07","RB"
"60","James Milner","1986-01-04","LM"
"61","Harvey Elliott","2003-04-04","RM"
"62","Harvey Elliott","2003-04-04","LM"
"63","Darwin Núñez","1999-06-24","FW"
"64","Fabio Carvalho","2002-08-30","LW"
"65","Hugo Lloris","1986-12-26","GK"
"66","Pierre Højbjerg","1995-08-05","CM"
"67","Son Heung-min","1992-07-07","AM"
"68","Harry Kane","1993-07-27","FW"
"69","Emerson","1999-01-14","WB"
"70","Eric Dier","1994-01-15","CB"
"71","Cristian Romero","1998-04-27","CB"
"72","Ryan Sessegnon","2000-05-17","WB"
"73","Dejan Kulusevski","2000-04-24","AM"
"74","Rodrigo Bentancur","1997-06-24","CM"
"75","Ben Davies","1993-04-23","CB"
"76","Matt Doherty","1992-01-16","WB"
"77","Ivan Perišić","1989-02-01","WB"
"78","Lucas Moura","1992-08-12","AM"
"79","Clément Lenglet","1995-06-17","CB"
"80","Yves Bissouma","1996-08-29","CM"
"81","Gavin Bazunu","2002-02-20","GK"
"82","Kyle Walker-Peters","1997-04-12","RB"
"83","Oriol Romeu","1991-09-24","CM"
"84","Joe Aribo","1996-07-20","FW"
"85","James Ward-Prowse","1994-11-01","CM"
"86","James Ward-Prowse","1994-11-01","RM"
"87","Adam Armstrong","1997-02-09","FW"
"88","Moussa Djenepo","1998-06-15","LB"
"89","Mohammed Salisu","1999-04-17","CB"
"90","Jan Bednarek","1996-04-11","CB"
"91","Yan Valery","1999-02-22","CB"
"92","Roméo Lavia","2004-01-06","CM"
"93","Jack Stephens","1994-01-27","CB"
"94","Nathan Redmond","1994-03-06","RB"
"95","Romain Perraud","1997-09-22","LB"
"96","Stuart Armstrong","1992-03-29","LM"
"97","Stuart Armstrong","1992-03-29","FW"
"98","Ibrahima Diallo","1999-03-08","CM"
"99","Nick Pope","1992-04-18","GK"
"100","Kieran Trippier","1990-09-19","RB"
"101","Fabian Schär","1991-12-20","CB"
"102","Joelinton","1996-08-13","LM"
"103","Callum Wilson","1992-02-27","FW"
"104","Allan Saint-Maximin","1997-03-11","LW"
"105","Matt Targett","1995-09-18","LB"
"106","Miguel Almirón","1994-02-10","RW"
"107","Joe Willock","1999-08-20","RM"
"108","Dan Burn","1992-05-08","CB"
"109","Bruno Guimarães","1997-11-16","CM"
"110","Sven Botman","2000-01-12","CB"
"111","Sven Botman","2000-01-12","CM"
"112","Chris Wood","1991-12-07","FW"
"113","Ryan Fraser","1994-02-24","RW"
"114","Ryan Fraser","1994-02-24","RM"
"115","Jacob Murphy","1995-02-24","LW"
"116","Jacob Murphy","1995-02-24","LM"
"117","Sean Longstaff","1997-10-30","RM"
"118","Sean Longstaff","1997-10-30","CM"
"119","Dean Henderson","1997-03-11","GK"
"120","Joe Worrall","1997-01-09","CB"
"121","Neco Williams","2001-04-12","WB"
"122","Neco Williams","2001-04-12","RB"
"123","Jack Colback","1989-10-24","CM"
"124","Jack Colback","1989-10-24","DM"
"125","Jesse Lingard","1992-12-14","AM"
"126","Lewis O'Brien","1998-10-14","CM"
"127","Harry Toffolo","1995-08-19","WB"
"128","Harry Toffolo","1995-08-19","LB"
"129","Sam Surridge","1998-07-28","FW"
"130","Moussa Niakhate","1996-03-07","CB"
"131","Brennan Johnson","2001-05-22","FW"
"132","Brennan Johnson","2001-05-22","LW"
"133","Scott McKenna","1996-11-11","CB"
"134","Orel Mangala","1998-03-18","DM"
"135","Orel Mangala","1998-03-18","CM"
"136","Taiwo Awoniyi","1997-08-12","AM"
"137","Taiwo Awoniyi","1997-08-12","FW"
"138","Alexander Mighten","2002-04-11","RW"
"139","Illan Meslier","2000-03-01","GK"
"140","Robin Koch","1996-07-16","CB"
"141","Brenden Aaronson","2000-10-21","RW"
"142","Marc Roca","1996-11-25","DM"
"143","Patrick Bamford","1993-09-05","FW"
"144","Jack Harrison","1996-11-19","LW"
"145","Tyler Adams","1999-02-14","DM"
"146","Diego Llorente","1993-08-16","CB"
"147","Rodrigo","1991-03-06","AM"
"148","Pascal Struijk","1999-08-11","LB"
"149","Rasmus Nissen","1997-07-10","RB"
"150","Crysencio Summerville","2001-10-30","RW"
"151","Joe Gelhardt","2002-05-04","FW"
"152","Sam Greenwood","2002-01-26","DM"
"153","Mateusz Klich","1990-06-13","AM"
"154","José Sá","1993-01-16","GK"
"155","Rayan Aït Nouri","2001-06-05","LB"
"156","Nathan Collins","2001-04-29","CB"
"157","Pedro Neto","2000-03-08","LW"
"158","Rúben Neves","1997-03-12","DM"
"159","Daniel Podence","1995-10-21","RW"
"160","Hwang Hee-chan","1996-01-26","FW"
"161","Morgan Gibbs-White","2000-01-27","AM"
"162","Jonny Castro","1994-03-03","RB"
"163","Max Kilman","1997-05-22","CB"
"164","Leander Dendoncker","1995-04-15","DM"
"165","Chem Campbell","2002-12-30","FW"
"166","Mark Travers","1999-05-18","GK"
"167","Lloyd Kelly","1998-10-06","CB"
"168","Chris Mepham","1997-11-05","CB"
"169","Jefferson Lerma","1994-10-25","CB"
"170","Dominic Solanke","1997-09-14","AM"
"171","Adam Smith","1991-04-29","WB"
"172","Marcus Tavernier","1999-03-22","AM"
"173","Kieffer Moore","1992-08-07","FW"
"174","Ben Pearson","1995-01-04","CM"
"175","Philip Billing","1996-06-10","CM"
"176","Jordan Zemura","1999-11-14","WB"
"177","Lewis Cook","1997-02-02","CM"
"178","Ryan Christie","1995-02-22","AM"
"179","Junior Stanislas","1989-11-26","FW"
"180","Emiliano Martínez","1992-09-01","GK"
"181","Matty Cash","1997-08-07","RB"
"182","Diego Carlos","1993-03-14","CB"
"183","Ezri Konsa","1997-10-23","CB"
"184","John McGinn","1994-10-18","DM"
"185","John McGinn","1994-10-18","RM"
"186","Danny Ings","1992-07-22","FW"
"187","Philippe Coutinho","1992-06-11","LW"
