league,matchday,rk,squad,p,w,d,l,gf,ga,g_diff,pts
Premier League,1,1,Spurs,1,1,0,0,4,1,3,3
Premier League,1,2,Arsenal,1,1,0,0,2,0,2,3
Premier League,1,2,Bournemouth,1,1,0,0,2,0,2,3
Premier League,1,2,Newcastle,1,1,0,0,2,0,2,3
Premier League,1,2,Man City,1,1,0,0,2,0,2,3
Premier League,1,6,Leeds,1,1,0,0,2,1,1,3
Premier League,1,6,Brighton,1,1,0,0,2,1,1,3
Premier League,1,8,Chelsea,1,1,0,0,1,0,1,3
Premier League,1,9,Fulham,1,0,1,0,2,2,0,1
Premier League,1,9,Liverpool,1,0,1,0,2,2,0,1
Premier League,1,9,Leicester,1,0,1,0,2,2,0,1
Premier League,1,9,Brentford,1,0,1,0,2,2,0,1
Premier League,1,13,Wolves,1,0,0,1,1,2,-1,0
Premier League,1,13,Man Utd,1,0,0,1,1,2,-1,0
Premier League,1,15,Everton,1,0,0,1,0,1,-1,0
Premier League,1,16,West Ham,1,0,0,1,0,2,-2,0
Premier League,1,16,Aston Villa,1,0,0,1,0,2,-2,0
Premier League,1,16,Nottm Forest,1,0,0,1,0,2,-2,0
Premier League,1,16,Crystal Palace,1,0,0,1,0,2,-2,0
Premier League,1,20,Southampton,1,0,0,1,1,4,-3,0
Premier League,1,1,Spurs,1,1,0,0,4,1,3,3
Premier League,1,2,Arsenal,1,1,0,0,2,0,2,3
Premier League,1,2,Bournemouth,1,1,0,0,2,0,2,3
Premier League,1,2,Newcastle,1,1,0,0,2,0,2,3
Premier League,1,2,Man City,1,1,0,0,2,0,2,3
Premier League,1,6,Leeds,1,1,0,0,2,1,1,3
Premier League,1,6,Brighton,1,1,0,0,2,1,1,3
Premier League,1,8,Chelsea,1,1,0,0,1,0,1,3
Premier League,1,9,Fulham,1,0,1,0,2,2,0,1
Premier League,1,9,Liverpool,1,0,1,0,2,2,0,1
Premier League,1,9,Leicester,1,0,1,0,2,2,0,1
Premier League,1,9,Brentford,1,0,1,0,2,2,0,1
Premier League,1,13,Wolves,1,0,0,1,1,2,-1,0
Premier League,1,13,Man Utd,1,0,0,1,1,2,-1,0
Premier League,1,15,Everton,1,0,0,1,0,1,-1,0
Premier League,1,16,West Ham,1,0,0,1,0,2,-2,0
Premier League,1,16,Aston Villa,1,0,0,1,0,2,-2,0
Premier League,1,16,Nottm Forest,1,0,0,1,0,2,-2,0
